date,total,richness,shannon_H
2024-10-24,2546,48,2.7306228791913396
2024-10-25,2714,45,2.6371923355108855
2024-10-26,2675,44,2.6366859473451862
2024-10-27,3215,50,2.410310170858929
2024-10-28,3631,47,2.1794848506543074
2024-10-29,2735,48,2.00117519811054
2024-10-30,3977,48,2.1908095088033144
2024-10-31,3546,51,2.492911075089353
2024-11-01,2405,44,2.5557750996274367
2024-11-02,3261,47,2.3719593707644084
2024-11-03,2616,49,2.4537711309831307
2024-11-04,2870,49,2.3746134509384005
2024-11-05,3180,51,2.309833682146797
2024-11-06,3722,44,2.1852535213945408
2024-11-07,5083,45,2.3366498049226485
2024-11-08,3111,46,2.5053715274329966
2024-11-09,3053,44,2.598066415765034
2024-11-10,4696,48,2.4419447944603467
2024-11-11,3864,51,2.5784103334310298
2024-11-12,2131,48,2.290296923470192
2024-11-13,3828,54,2.2182521051065387
2024-11-14,2054,48,2.5149668210659386
2024-11-15,2779,48,2.294635364226841
2024-11-16,4302,52,2.542185888034737
2024-11-17,3717,45,2.5822827063667555
2024-11-18,4248,47,2.479276851678826
2024-11-19,1830,32,2.501168604040521
2024-11-20,1787,39,2.7623297122091186
2024-11-21,475,33,2.779195998938354
2024-11-22,2134,42,2.7441338532609247
2024-11-23,3101,42,2.391709347128577
2024-11-24,2509,37,2.399166782009775
2024-11-25,2164,27,2.2892122722932022
2024-11-26,2106,32,2.309310899216424
2024-11-27,1728,23,1.6024983871528626
2024-11-28,1476,32,2.3250431342324873
2024-11-29,1425,25,2.145618171305857
2024-11-30,1518,21,2.1041179935555814
2024-12-01,2219,32,2.3061329519970237
2024-12-02,3230,39,2.6039436581374824
2024-12-03,3913,44,2.495025904176953
2024-12-04,2658,32,2.3743943880663525
2024-12-05,3698,40,2.6072757359353425
2024-12-06,2629,33,2.035207186184653
2024-12-07,3390,41,2.1331560018207396
2024-12-08,2979,36,1.7699853482677559
2024-12-09,4302,36,2.27675808947095
2024-12-10,1728,39,1.9974184094384175
2024-12-11,4758,42,1.8126259233153563
2024-12-12,2710,33,1.8273372156661605
2024-12-13,2611,36,2.1734676493332143
2024-12-14,5832,46,2.3495971556819413
2024-12-15,4209,47,2.3306695509905384
2024-12-16,5009,40,2.013424926760288
2024-12-17,4308,51,2.132511371812253
2024-12-18,4206,43,2.375411238940201
2024-12-19,3914,40,1.8176578093782076
2024-12-20,3185,44,2.041260705932263
2024-12-21,2606,48,1.9421141240041453
2024-12-22,1828,55,2.2536001412993096
2024-12-23,2751,56,2.2015269716180557
2024-12-24,4760,53,1.97820002229045
2024-12-25,1272,29,1.7304515083402212
2024-12-26,1775,28,1.583996066317793
2024-12-27,972,28,1.6563521859204227
2024-12-28,1931,28,1.8537272425475533
2024-12-29,1186,24,1.7737186839814338
2024-12-30,844,25,1.5173380220331891
2024-12-31,2318,28,1.5584275282444426
2025-01-01,486,20,1.8903725975267003
2025-01-02,1888,27,2.0034127057008804
2025-01-03,2746,26,1.6755404868148718
2025-01-04,2803,30,1.6467037232518484
2025-01-05,1285,15,0.568854135111338
2025-01-06,119,12,1.509443564520446
2025-01-07,249,16,1.725127509429921
2025-01-08,240,11,1.0483189560814727
2025-01-09,124,14,2.0294798512496346
2025-01-10,119,18,2.1857281777524746
2025-01-11,222,16,1.9789040722162792
2025-01-12,197,13,1.3831801535888273
2025-01-13,424,17,1.9484383009010129
2025-01-14,116,14,2.048050692505945
2025-01-15,257,18,1.8213055293024385
2025-01-16,213,15,1.5582493460125229
2025-01-17,209,20,1.7470110561115528
2025-01-18,297,16,1.9155622300259065
2025-01-19,82,13,1.7752250910618206
2025-01-20,137,9,1.5094662563857089
2025-01-21,252,9,1.1835363913140193
2025-01-22,2902,30,1.6595848019060724
2025-01-23,3410,23,1.1740407369128603
2025-01-24,2635,27,1.6881187316455728
2025-01-25,1865,29,1.9637506116023946
2025-01-26,3557,29,1.3178640940454018
2025-01-27,2895,27,1.611543977590003
2025-01-28,2280,32,1.867576325302239
2025-01-29,2597,37,2.107500633765903
2025-01-30,1863,37,1.8823904658801596
2025-01-31,1725,31,2.1479455083849763
2025-02-01,1911,35,2.4326830563588544
2025-02-02,1649,35,2.3896384396182557
2025-02-03,2081,31,1.9580820970566901
2025-02-04,1595,40,1.941068682771308
2025-02-05,1086,29,2.0779791185399477
2025-02-06,1227,29,2.240877518654689
2025-02-07,3137,28,2.0492758439589775
2025-02-08,2211,28,1.7481596988904553
2025-02-09,2192,26,1.7747683174302267
2025-02-10,1827,31,2.198407750864452
2025-02-11,1998,33,1.7881068453035218
2025-02-12,2030,32,1.9665204563536798
2025-02-13,1709,28,2.2564934771099887
2025-02-14,3753,30,2.551973169938342
2025-02-15,5069,47,2.250089487559789
2025-02-16,6441,40,2.23515476698303
2025-02-17,3390,35,2.7589777518416088
2025-02-18,944,25,1.9663130860371503
2025-02-19,3373,28,2.178846601738662
2025-02-20,1722,22,2.334392505790619
2025-02-21,829,23,2.156612135074217
2025-02-22,590,25,2.126553810733122
2025-02-23,2324,28,2.3990639891854295
2025-02-24,1894,26,2.1635397352264145
2025-02-25,2817,33,2.2973974122701977
2025-02-26,3029,36,1.8719490662743699
2025-02-27,2636,27,2.0203876566123222
2025-02-28,3121,27,1.8597543936971028
2025-03-01,3794,31,1.8786816981578214
2025-03-02,2676,34,2.2423961035812745
2025-03-03,2773,29,1.9625100933226223
2025-03-04,1410,30,1.4713626938443332
2025-03-05,2340,26,2.000268130263202
2025-03-06,4123,42,2.3163247967908447
2025-03-07,3298,40,2.194057104897351
2025-03-08,2169,35,1.9093015386624592
2025-03-09,2361,28,1.805839135721238
2025-03-10,3264,37,2.1111368687699517
2025-03-11,4109,37,2.0307519547648183
2025-03-12,3320,37,2.333007623418011
2025-03-13,5785,47,2.488866642455508
2025-03-14,5550,51,2.166682030615754
2025-03-15,2720,42,2.4260546222219355
2025-03-16,3277,53,2.5843101457002735
2025-03-17,1633,36,2.684927667868196
2025-03-18,3032,45,2.618414479917192
2025-03-19,2682,44,2.7654656696542785
2025-03-20,3143,51,2.776897530679869
2025-03-21,2249,47,2.509888340439913
2025-03-22,2134,48,2.5377776063906463
2025-03-23,2798,47,2.2556496932142798
2025-03-24,2166,48,2.3997056416322677
2025-03-25,2482,43,2.418736378102777
2025-03-26,1563,37,2.706898861096783
2025-03-27,1480,38,2.535989921264993
2025-03-28,3127,51,2.473866907764533
2025-03-29,2422,49,2.3732671736787667
2025-03-30,3274,59,2.235689006931596
2025-03-31,5726,63,2.1458215452583573
2025-04-01,2372,44,1.697214628121457
2025-04-02,1546,42,1.9234611476818912
2025-04-03,1727,43,2.1068275208904583
2025-04-04,2412,46,2.228597692161907
2025-04-05,2953,47,2.2708871339967285
2025-04-06,2868,46,1.818796700980808
2025-04-07,3004,43,2.1917144311659245
2025-04-08,2859,49,2.516794041026831
2025-04-09,2930,43,2.3018854782705684
2025-04-10,2899,49,2.422844233596239
2025-04-11,4194,61,2.6086068018652835
2025-04-12,3748,52,2.6140261733477925
2025-04-13,5227,57,2.57584167153943
2025-04-14,3687,52,2.626588877261172
2025-04-15,5191,62,2.6133189004190784
2025-04-16,7986,64,2.6517947700885482
2025-04-17,6922,60,2.5127162032273587
2025-04-18,5910,62,2.651073609996065
2025-04-19,5566,56,2.479997817703782
2025-04-20,6236,62,2.488384872585331
2025-04-21,5851,65,2.774419226374676
2025-04-22,3819,63,2.889120262522785
2025-04-23,4120,66,2.7704530429089522
2025-04-24,6557,66,2.6162464808362085
2025-04-25,3671,66,2.7923549512560264
2025-04-26,4499,61,2.417525970304205
2025-04-27,4050,62,2.5135820945215963
2025-04-28,3963,65,2.6416479382928317
2025-04-29,3415,62,2.7837403790594135
2025-04-30,3525,66,2.653846538965112
2025-05-01,4047,67,2.74741951931982
2025-05-02,3963,60,2.8896581329895374
2025-05-03,3975,67,2.900707630080034
2025-05-04,4713,69,2.782558018091668
2025-05-05,4082,61,2.8578976573316224
2025-05-06,3658,67,2.993683644754123
2025-05-07,3557,64,3.0066829705624314
2025-05-08,2710,66,2.9088642627005643
2025-05-09,2555,60,2.96865634557355
2025-05-10,2656,59,2.875168655629582
2025-05-11,2190,49,2.7952736372554376
2025-05-12,2299,57,2.4272725617894606
2025-05-13,3295,62,2.530322014167771
2025-05-14,5866,69,2.5981767139397385
2025-05-15,5467,64,2.503667514980332
2025-05-16,4649,66,2.5135978341322396
2025-05-17,4698,68,2.846031860715646
2025-05-18,4738,62,2.7515604332154515
2025-05-19,3292,57,2.7472438555077057
2025-05-20,4523,65,2.4372870866912395
2025-05-21,3958,59,2.474167616396044
2025-05-22,3586,53,2.3713394912548607
2025-05-23,3417,59,2.4503587510229132
2025-05-24,3462,57,2.3520088992606825
2025-05-25,3624,64,2.5293022014896414
2025-05-26,2488,51,2.654657310542987
2025-05-27,2737,54,2.4992992570377934
2025-05-28,3528,55,2.5007150377398997
2025-05-29,3376,54,2.586747639481048
2025-05-30,2461,48,2.608978128283517
2025-05-31,3772,69,2.5265588938781014
2025-06-01,4235,55,2.344650862834305
2025-06-02,3470,64,2.6904057154091503
2025-06-03,3150,53,2.677466052898315
2025-06-04,2588,56,2.5849197909363624
2025-06-05,2863,56,2.4748260232217256
2025-06-06,2274,50,2.50909442606539
2025-06-07,2235,55,2.6165036527659673
2025-06-08,3404,49,2.8622619895929677
2025-06-09,2808,53,2.5303634328331666
2025-06-10,2680,46,2.536395830265721
2025-06-11,2029,51,2.7032981891266625
2025-06-12,1791,52,2.756411957900738
2025-06-13,2778,51,2.7616215389686993
2025-06-14,1860,43,2.607812909639072
2025-06-15,1729,45,2.2261143965283705
2025-06-16,2279,51,2.5603105715447585
2025-06-17,2527,50,2.7150657734900614
2025-06-18,2889,48,2.6472751763093276
2025-06-19,2817,50,2.689627543597697
2025-06-20,2593,44,2.7796529624095587
2025-06-21,1979,47,2.7767551765996314
2025-06-22,2207,50,2.8052183930139822
2025-06-23,3530,44,2.7259355333756936
2025-06-24,4769,52,2.3353397693749596
2025-06-25,6758,57,1.5636691578703332
2025-06-26,6231,52,1.7813958616041479
2025-06-27,5468,58,2.2882917140888948
2025-06-28,3392,48,2.4923090584728325
2025-06-29,3297,49,2.4682938692711334
2025-06-30,3359,44,2.717099924778513
2025-07-01,4178,52,2.6160515988015693
2025-07-02,3639,49,2.509206453102633
2025-07-03,3656,42,2.649177569249117
2025-07-04,4969,52,2.4051435820018447
2025-07-05,3010,51,2.5712906428945916
2025-07-06,2422,47,2.5108958743471983
2025-07-07,2875,55,2.8022846948738183
2025-07-08,2662,49,2.703635428418826
2025-07-09,2513,44,2.6413125124227084
2025-07-10,2613,47,2.471652954432764
2025-07-11,1978,42,2.551873630649845
2025-07-12,1800,46,2.5629893067449965
2025-07-13,1424,38,2.5400435255431693
2025-07-14,1476,41,2.3468357929156234
2025-07-15,1153,35,2.5070677129860144
2025-07-16,855,36,2.6234876291799445
2025-07-17,1304,41,2.6653444770083343
2025-07-18,1581,38,2.4233584712719596
2025-07-19,1646,33,2.532753921291458
2025-07-20,1749,46,2.6058171926799965
2025-07-21,2418,47,2.752261346322801
2025-07-22,2016,43,2.4996066898284064
2025-07-23,2269,40,2.4566438697526856
2025-07-24,2505,44,1.8955723785319747
2025-07-25,2613,32,2.1897470916636275
2025-07-26,2571,40,2.132093993428505
2025-07-27,2085,39,2.42052572488952
2025-07-28,2221,40,2.214051965497679
2025-07-29,1667,47,2.781090170158123
2025-07-30,2265,50,2.492192522914893
2025-07-31,1794,39,2.382305635249021
2025-08-01,1994,44,2.4519049295979065
2025-08-02,3273,44,2.422404764963762
2025-08-03,2671,50,2.500024270537553
2025-08-04,2474,48,2.552195314506091
2025-08-05,2937,46,2.539850239216657
2025-08-06,2698,46,2.362732496472298
2025-08-07,3177,49,2.494265775976985
2025-08-08,4261,48,2.4832089538561744
2025-08-09,3935,48,2.5615620145242026
2025-08-10,7842,58,1.4423415951308425
2025-08-11,6965,62,1.8907267769074942
2025-08-12,3015,50,2.7880596896330836
2025-08-13,3218,57,2.508690749228502
2025-08-14,3927,50,2.638311524338322
2025-08-15,3658,46,2.517026278942241
2025-08-16,4458,52,2.484695769634944
2025-08-17,4129,51,2.4557685119657178
2025-08-18,3579,55,2.2857240305950652
2025-08-19,2200,45,2.4665938346269907
2025-08-20,2948,51,2.120641824846973
2025-08-21,3501,48,2.482728259172619
2025-08-22,2634,47,2.431150107136113
2025-08-23,3625,52,2.3200802175728565
2025-08-24,3237,61,2.628023546157843
2025-08-25,2792,53,2.551899808261587
2025-08-26,3188,51,2.495529533519141
2025-08-27,3368,57,2.495408242676347
2025-08-28,3268,57,2.8405706615848234
2025-08-29,3252,60,2.896575102299562
2025-08-30,3397,61,2.7031934188430835
2025-08-31,2365,47,2.7156068674521228
2025-09-01,3021,47,2.6962959732409133
2025-09-02,2247,52,2.6925918003054674
2025-09-03,2287,51,2.7153591341300634
2025-09-04,2599,53,2.7488048222649626
2025-09-05,2566,51,2.7337771946001745
2025-09-06,2442,50,2.661150534843192
2025-09-07,2813,57,2.749774680554565
2025-09-08,2709,51,2.6846611675846397
2025-09-09,2999,58,2.5635565649120586
2025-09-10,3992,49,2.762258192441867
2025-09-11,3563,49,2.782362247189626
2025-09-12,2719,43,2.7599495247643393
2025-09-13,2822,48,2.7227410590095813
2025-09-14,2883,55,2.783121509185432
2025-09-15,2328,48,2.5669718277184184
2025-09-16,2029,44,2.7182246819254052
2025-09-17,2805,46,2.8043238768869125
2025-09-18,2786,50,2.5716172952140846
2025-09-19,2216,55,2.9208163799073166
2025-09-20,2206,70,2.92782533957605
2025-09-21,2142,60,2.8571737471936682
2025-09-22,1690,49,2.7013707293006988
2025-09-23,1726,48,2.782821253114948
2025-09-24,1913,54,2.8806602800604466
2025-09-25,2007,58,2.6885390915701732
2025-09-26,2512,57,2.7719271578078866
2025-09-27,2376,61,2.8360404867970095
2025-09-28,1499,60,2.769464171393112
2025-09-29,2331,55,2.70013245314202
2025-09-30,3284,61,2.7420690629540103
2025-10-01,1790,60,2.552411072411529
2025-10-02,1873,56,2.6419879816002436
2025-10-03,2108,75,3.023800186946475
2025-10-04,2478,72,2.999642459472112
2025-10-05,3229,71,2.9094966589402667
2025-10-06,3617,76,2.97571793775671
2025-10-07,3704,80,2.9233987818751297
2025-10-08,2188,64,2.927989018414287
2025-10-09,1290,62,2.846054009754762
2025-10-10,2033,59,2.7155450203471663
2025-10-11,2660,60,2.9129949946481686
2025-10-12,2885,59,2.8703968687804258
2025-10-13,3179,73,2.9881392803667204
2025-10-14,3365,70,2.806206327070412
2025-10-15,2806,68,2.996373387863538
2025-10-16,2574,70,2.975318508587397
2025-10-17,3066,72,2.9567904844429513
2025-10-18,3140,70,2.9854753610674085
