Date,source_sheet,Bird,Feeder Visits
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,53.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,75.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,52.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,7.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,47.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,41.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",House Finch,8.0
2025-11-12,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,2.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,72.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,66.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,58.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,10.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,58.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,52.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",House Finch,12.0
2025-11-13,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,6.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,37.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,30.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,35.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,1.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,51.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,65.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",House Finch,9.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,6.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,3.0
2025-11-14,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,13.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,46.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,40.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,39.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,6.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,24.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,55.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",House Finch,12.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,21.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,7.0
2025-11-15,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,11.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,64.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,38.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,36.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,5.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,32.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,42.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",House Finch,39.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,7.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,31.0
2025-11-16,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,13.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,57.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,45.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,30.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,6.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,49.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,33.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",House Finch,46.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,15.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,1.0
2025-11-17,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,11.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,35.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,67.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,98.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,13.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,59.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,6.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",House Finch,22.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,32.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,0.0
2025-11-18,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,3.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,45.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,52.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,76.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,41.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,67.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,7.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",House Finch,78.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,66.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,10.0
2025-11-19,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,5.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,26.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,49.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,114.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,24.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,77.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,8.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",House Finch,105.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,90.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,25.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,10.0
2025-11-20,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,48.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,51.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,70.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,36.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,43.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,31.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",House Finch,96.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,58.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,24.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,9.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,1.0
2025-11-21,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,3.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,44.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,101.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,57.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,26.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,70.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,22.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",House Finch,49.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,32.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,47.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,15.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,0.0
2025-11-22,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,0.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,15.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,9.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,16.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,12.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,5.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,19.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",House Finch,11.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,6.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,5.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,3.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,0.0
2025-11-23,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,1.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,1.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,1.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,5.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,1.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,2.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,7.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",House Finch,0.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,0.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,1.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,0.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,0.0
2025-11-24,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,0.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,3.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,0.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,0.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,0.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,2.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,2.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",House Finch,1.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,1.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,0.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,4.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,0.0
2025-11-25,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,3.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,1.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,1.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,1.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",House Finch,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,1.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,0.0
2025-11-26,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,1.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,2.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",House Finch,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,2.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,0.0
2025-11-27,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,1.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,2.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",House Finch,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,1.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Carolina Wren,0.0
2025-11-28,"Essex Fells, NJ 07021 Daily Sum",Red-breasted Nuthatch,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Northern Cardinal,1.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Tufted Titmouse,1.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Blue Jay,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Downy Woodpecker,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",White-breasted Nuthatch,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Dark-eyed Junco,1.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",House Finch,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Red-bellied Woodpecker,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Black-capped Chickadee,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Mourning Dove,0.0
2025-11-29,"Essex Fells, NJ 07021 Daily Sum",Common Grackle,0.0
